"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.60695707727e-132,0.392380312690256,0.442,0.375,1.6200258753466e-127,"0","MSL3"
1.16600790047589e-127,0.308130651407274,0.49,0.417,2.85905137196688e-123,"0","TSPAN14"
2.13123411699317e-127,0.30659423005929,0.553,0.489,5.22578605486725e-123,"0","APEX1"
4.27794697473101e-127,0.418187416833785,0.382,0.316,1.04895259820404e-122,"0","JAK3"
4.58428081260954e-124,0.501164661580731,0.255,0.196,1.12406565525186e-119,"0","TACC3"
1.48053790380793e-123,0.359885095788025,0.438,0.373,3.63027894013705e-119,"0","MFNG"
4.98964010656805e-122,0.321958624969636,0.494,0.428,1.22345975413049e-117,"0","ATP1A1"
2.26879820183243e-119,0.452976174444335,0.283,0.218,5.56309319089312e-115,"0","PIM2"
4.48596887818894e-119,0.390867787694791,0.337,0.269,1.09995956893193e-114,"0","SFXN1"
3.0597192418349e-117,0.292477419243482,0.527,0.464,7.50243158097917e-113,"0","CRBN"
2.49688549893726e-116,0.35235016724964,0.44,0.378,6.12236324339416e-112,"0","FGD3"
3.49517574926577e-116,0.404532492099746,0.295,0.227,8.57017093719968e-112,"0","S1PR1"
6.90098569606747e-115,0.257260196112098,0.63,0.57,1.69212169267574e-110,"0","FBL"
5.39541904130428e-114,0.381935040949241,0.347,0.28,1.32295674892781e-109,"0","AC026979.2"
1.0129842595268e-111,0.476662297884652,0.318,0.26,2.48383740435972e-107,"0","MRPS33"
4.86438406889027e-111,0.477118141070751,0.289,0.231,1.19274697369189e-106,"0","ADI1"
9.3662459752975e-111,0.449937493796432,0.253,0.193,2.29660351314295e-106,"0","NMRK1"
6.0387456361395e-109,0.375606576823013,0.364,0.302,1.4807004299814e-104,"0","CRTC3"
1.10366068261766e-107,0.288168078198234,0.486,0.416,2.7061759937785e-103,"0","SEPTIN1"
3.46435271711761e-107,0.402776166641334,0.358,0.297,8.49459286237239e-103,"0","SENP7"
1.94474220341856e-106,0.487386015926609,0.268,0.209,4.7685078827823e-102,"0","TMEM161B-AS1"
2.94949288358328e-105,0.286413606539166,0.514,0.455,7.2321565505462e-101,"0","ATXN7L3B"
4.6931448943573e-105,0.417391301718333,0.354,0.299,1.15075912809641e-100,"0","ESD"
1.75798130130974e-101,0.402393642273067,0.485,0.478,4.31057015081149e-97,"0","RPS4Y1"
2.98410089466425e-98,0.400662128257961,0.345,0.291,7.31701539371675e-94,"0","ABHD14B"
4.06979979627207e-96,0.330577400916335,0.467,0.415,9.9791491004591e-92,"0","EIF2A"
1.15682943176441e-94,0.276030244516562,0.407,0.343,2.83654576668634e-90,"0","LINC00623"
1.74572517799466e-94,0.28232426827657,0.438,0.373,4.2805181364429e-90,"0","RASA2"
2.92376918622609e-93,0.505344394449781,0.252,0.202,7.16908204462638e-89,"0","ZFAND1"
5.41873830792213e-93,0.310021972134819,0.376,0.315,1.32867463310251e-88,"0","LPIN2"
1.58388438220644e-92,0.295191169652517,0.516,0.468,3.88368450517019e-88,"0","SMIM26"
1.60051065875678e-91,0.360311592243645,0.347,0.29,3.92445213527164e-87,"0","ZNF91"
2.4240180121162e-90,0.331869719234294,0.444,0.395,5.94369216570893e-86,"0","CHMP3"
5.08366635258098e-90,0.43225524682192,0.277,0.226,1.24651498965286e-85,"0","CCNG1"
2.02429335292288e-89,0.381809343862093,0.307,0.252,4.9635673013669e-85,"0","MAD1L1"
1.60345003492843e-86,0.333496037331191,0.315,0.258,3.93165948564451e-82,"0","NAE1"
2.58684863862763e-86,0.380979660549273,0.418,0.362,6.34295286191496e-82,"0","BCL2"
6.77019107504016e-86,0.41200863870014,0.278,0.226,1.66005085159985e-81,"0","TMEM106B"
1.81821263156053e-85,0.417450444688784,0.29,0.238,4.45825737258642e-81,"0","REXO2"
3.10659817224788e-84,0.404162464168149,0.277,0.224,7.61737871835179e-80,"0","ZC3H8"
4.54414312739125e-84,0.257980602103189,0.537,0.489,1.11422389483633e-79,"0","STX16"
7.82471557289758e-84,0.339620806936661,0.368,0.314,1.91862025847449e-79,"0","DANCR"
2.30866843653328e-80,0.317359007125274,0.337,0.283,5.6608550063796e-76,"0","SLC2A4RG"
2.93516187499103e-79,0.274032187460467,0.443,0.392,7.19701691747801e-75,"0","ATXN7"
2.4065503465351e-78,0.424380997962693,0.255,0.207,5.90086144970406e-74,"0","EBPL"
3.32878792590574e-76,0.372304238360472,0.307,0.258,8.16218799432086e-72,"0","SUCLG2"
8.16818806986527e-76,0.381934547247311,0.272,0.224,2.00283971473096e-71,"0","COX11"
7.12044830487372e-75,0.407694529835188,0.271,0.225,1.74593392435504e-70,"0","PSMG4"
1.73901799778916e-74,0.268806170705319,0.398,0.344,4.26407213057902e-70,"0","RASA3"
